Action name,Iteration,Status,Responsiveness,Start time,End time,"Duration, msec"
HomePage/OpenTabRefreshToken,42,Passed,N/A,2020-10-02 12:36:22.196000,2020-10-02 12:36:29.205000,4137
HomePage/OpenTabRefreshToken,43,Passed,N/A,2020-10-02 12:38:57.259000,2020-10-02 12:39:03.385000,3268
HomePage/OpenTabRefreshToken,44,Passed,N/A,2020-10-02 12:41:34.223000,2020-10-02 12:41:39.900000,2834
HomePage/OpenTabRefreshToken,45,Passed,N/A,2020-10-02 12:44:10.522000,2020-10-02 12:44:16.343000,2867
HomePage/OpenTabRefreshToken,46,Passed,N/A,2020-10-02 12:46:47.946000,2020-10-02 12:46:54.096000,3243
HomePage/OpenTabRefreshToken,47,Passed,N/A,2020-10-02 12:49:21.095000,2020-10-02 12:49:27.549000,3552
HomePage/OpenTabRefreshToken,48,Passed,N/A,2020-10-02 12:51:57.651000,2020-10-02 12:52:04.587000,4067
HomePage/OpenTabRefreshToken,49,Passed,N/A,2020-10-02 12:54:35.686000,2020-10-02 12:54:41.228000,2555
HomePage/OpenTabRefreshToken,50,Passed,N/A,2020-10-02 12:57:15.724000,2020-10-02 12:57:22.225000,3750
TV_Navigate/WatchTV,1,Passed,N/A,2020-10-02 10:55:42.932000,2020-10-02 10:55:49.839000,2437
TV_Navigate/WatchTV,2,Passed,N/A,2020-10-02 10:58:24.763000,2020-10-02 10:58:31.004000,2706
TV_Navigate/WatchTV,3,Passed,N/A,2020-10-02 11:01:03.501000,2020-10-02 11:01:09.580000,2164
TV_Navigate/WatchTV,4,Passed,N/A,2020-10-02 11:03:40.624000,2020-10-02 11:03:46.245000,2220
TV_Navigate/WatchTV,5,Passed,N/A,2020-10-02 11:06:17.833000,2020-10-02 11:06:24.457000,2915
TV_Navigate/WatchTV,6,Passed,N/A,2020-10-02 11:08:55.708000,2020-10-02 11:09:02.178000,2597
TV_Navigate/WatchTV,7,Passed,N/A,2020-10-02 11:11:31.767000,2020-10-02 11:11:38.495000,2724
TV_Navigate/WatchTV,8,Passed,N/A,2020-10-02 11:14:09.471000,2020-10-02 11:14:16.032000,2452
TV_Navigate/WatchTV,9,Passed,N/A,2020-10-02 11:16:49.263000,2020-10-02 11:16:55.395000,2459
TV_Navigate/WatchTV,10,Passed,N/A,2020-10-02 11:19:28.360000,2020-10-02 11:19:34.960000,2685
TV_Navigate/WatchTV,11,Passed,N/A,2020-10-02 11:20:38.746000,2020-10-02 11:20:45.979000,2622
TV_Navigate/WatchTV,12,Passed,N/A,2020-10-02 11:21:37.183000,2020-10-02 11:21:43.109000,2469
TV_Navigate/WatchTV,13,Passed,N/A,2020-10-02 11:22:35.918000,2020-10-02 11:22:42.346000,2371
TV_Navigate/WatchTV,15,Passed,N/A,2020-10-02 11:25:31.763000,2020-10-02 11:25:38.772000,2440
TV_Navigate/WatchTV,16,Passed,N/A,2020-10-02 11:28:08.598000,2020-10-02 11:28:14.659000,2466
TV_Navigate/WatchTV,17,Passed,N/A,2020-10-02 11:30:44.683000,2020-10-02 11:30:50.477000,2485
TV_Navigate/WatchTV,18,Passed,N/A,2020-10-02 11:33:22.879000,2020-10-02 11:33:29.327000,3013
TV_Navigate/WatchTV,19,Passed,N/A,2020-10-02 11:35:58.256000,2020-10-02 11:36:05.345000,2581
TV_Navigate/WatchTV,20,Passed,N/A,2020-10-02 11:38:41.372000,2020-10-02 11:38:48.194000,2891
TV_Navigate/WatchTV,21,Passed,N/A,2020-10-02 11:41:17.223000,2020-10-02 11:41:23.399000,2854
TV_Navigate/WatchTV,22,Passed,N/A,2020-10-02 11:43:53.778000,2020-10-02 11:44:00.105000,2445
TV_Navigate/WatchTV,23,Passed,N/A,2020-10-02 11:46:29.608000,2020-10-02 11:46:36.303000,2261
TV_Navigate/WatchTV,24,Passed,N/A,2020-10-02 11:49:02.624000,2020-10-02 11:49:09.565000,2473
TV_Navigate/WatchTV,25,Passed,N/A,2020-10-02 11:51:41.443000,2020-10-02 11:51:47.781000,2427
TV_Navigate/WatchTV,26,Passed,N/A,2020-10-02 11:54:18.082000,2020-10-02 11:54:24.207000,2363
TV_Navigate/WatchTV,27,Passed,N/A,2020-10-02 11:56:54.964000,2020-10-02 11:57:01.818000,3183
TV_Navigate/WatchTV,28,Passed,N/A,2020-10-02 11:59:30.532000,2020-10-02 11:59:36.301000,2135
TV_Navigate/WatchTV,29,Passed,N/A,2020-10-02 12:02:08.020000,2020-10-02 12:02:14.226000,2768
TV_Navigate/WatchTV,30,Passed,N/A,2020-10-02 12:04:45.701000,2020-10-02 12:04:51.543000,2349
TV_Navigate/WatchTV,31,Passed,N/A,2020-10-02 12:07:28.952000,2020-10-02 12:07:35.647000,2356
TV_Navigate/WatchTV,32,Passed,N/A,2020-10-02 12:10:06.286000,2020-10-02 12:10:13.946000,3123
TV_Navigate/WatchTV,33,Passed,N/A,2020-10-02 12:12:44.307000,2020-10-02 12:12:51.232000,2731
TV_Navigate/WatchTV,34,Passed,N/A,2020-10-02 12:15:21.323000,2020-10-02 12:15:27.647000,2804
TV_Navigate/WatchTV,35,Passed,N/A,2020-10-02 12:17:57.317000,2020-10-02 12:18:04.181000,2519
TV_Navigate/WatchTV,36,Passed,N/A,2020-10-02 12:20:41.146000,2020-10-02 12:20:47.404000,2385
TV_Navigate/WatchTV,37,Passed,N/A,2020-10-02 12:23:18.645000,2020-10-02 12:23:25.100000,2476
TV_Navigate/WatchTV,38,Passed,N/A,2020-10-02 12:25:56.539000,2020-10-02 12:26:02.919000,2824
TV_Navigate/WatchTV,39,Passed,N/A,2020-10-02 12:28:34.974000,2020-10-02 12:28:40.890000,2425
TV_Navigate/WatchTV,40,Passed,N/A,2020-10-02 12:31:15.494000,2020-10-02 12:31:21.136000,2245
TV_Navigate/WatchTV,41,Passed,N/A,2020-10-02 12:33:50.043000,2020-10-02 12:33:56.111000,2734
TV_Navigate/WatchTV,42,Passed,N/A,2020-10-02 12:36:29.450000,2020-10-02 12:36:35.176000,2379
TV_Navigate/WatchTV,43,Passed,N/A,2020-10-02 12:39:03.639000,2020-10-02 12:39:09.678000,2483
TV_Navigate/WatchTV,44,Passed,N/A,2020-10-02 12:41:40.125000,2020-10-02 12:41:46.593000,2493
TV_Navigate/WatchTV,45,Passed,N/A,2020-10-02 12:44:16.583000,2020-10-02 12:44:22.944000,2730
TV_Navigate/WatchTV,46,Passed,N/A,2020-10-02 12:46:54.317000,2020-10-02 12:47:00.384000,2536
TV_Navigate/WatchTV,47,Passed,N/A,2020-10-02 12:49:27.658000,2020-10-02 12:49:34.693000,2592
TV_Navigate/WatchTV,48,Passed,N/A,2020-10-02 12:52:04.831000,2020-10-02 12:52:11.823000,2517
TV_Navigate/WatchTV,49,Passed,N/A,2020-10-02 12:54:41.445000,2020-10-02 12:54:48.675000,2458
TV_Navigate/WatchTV,50,Passed,N/A,2020-10-02 12:57:22.375000,2020-10-02 12:57:28.315000,2492
TV_Navigate/SortByMostWatched,1,Passed,N/A,2020-10-02 10:55:50.093000,2020-10-02 10:55:54.688000,2736
TV_Navigate/SortByMostWatched,2,Passed,N/A,2020-10-02 10:58:31.114000,2020-10-02 10:58:35.182000,2612
TV_Navigate/SortByMostWatched,3,Passed,N/A,2020-10-02 11:01:09.697000,2020-10-02 11:01:13.645000,2414
TV_Navigate/SortByMostWatched,4,Passed,N/A,2020-10-02 11:03:46.396000,2020-10-02 11:03:50.554000,2626
TV_Navigate/SortByMostWatched,5,Passed,N/A,2020-10-02 11:06:24.585000,2020-10-02 11:06:29.740000,3057
TV_Navigate/SortByMostWatched,6,Passed,N/A,2020-10-02 11:09:02.312000,2020-10-02 11:09:06.518000,2651
TV_Navigate/SortByMostWatched,7,Passed,N/A,2020-10-02 11:11:38.636000,2020-10-02 11:11:43.125000,2519
TV_Navigate/SortByMostWatched,8,Passed,N/A,2020-10-02 11:14:16.261000,2020-10-02 11:14:20.709000,2813
TV_Navigate/SortByMostWatched,9,Passed,N/A,2020-10-02 11:16:55.631000,2020-10-02 11:16:59.669000,2298
TV_Navigate/SortByMostWatched,10,Passed,N/A,2020-10-02 11:19:35.087000,2020-10-02 11:19:39.605000,2978
TV_Navigate/SortByMostWatched,11,Passed,N/A,2020-10-02 11:20:46.119000,2020-10-02 11:20:49.918000,2447
TV_Navigate/SortByMostWatched,12,Passed,N/A,2020-10-02 11:21:43.268000,2020-10-02 11:21:47.444000,2487
TV_Navigate/SortByMostWatched,13,Passed,N/A,2020-10-02 11:22:42.464000,2020-10-02 11:22:46.455000,2463
TV_Navigate/SortByMostWatched,15,Passed,N/A,2020-10-02 11:25:38.889000,2020-10-02 11:25:43.190000,2405
TV_Navigate/SortByMostWatched,16,Passed,N/A,2020-10-02 11:28:14.782000,2020-10-02 11:28:18.738000,2444
TV_Navigate/SortByMostWatched,17,Passed,N/A,2020-10-02 11:30:50.696000,2020-10-02 11:30:54.674000,2362
TV_Navigate/SortByMostWatched,18,Passed,N/A,2020-10-02 11:33:29.453000,2020-10-02 11:33:34.007000,2600
TV_Navigate/SortByMostWatched,19,Passed,N/A,2020-10-02 11:36:05.455000,2020-10-02 11:36:09.870000,2807
TV_Navigate/SortByMostWatched,20,Passed,N/A,2020-10-02 11:38:48.439000,2020-10-02 11:38:53.356000,2883
TV_Navigate/SortByMostWatched,21,Passed,N/A,2020-10-02 11:41:23.633000,2020-10-02 11:41:27.992000,2591
TV_Navigate/SortByMostWatched,22,Passed,N/A,2020-10-02 11:44:00.236000,2020-10-02 11:44:04.361000,2348
TV_Navigate/SortByMostWatched,23,Passed,N/A,2020-10-02 11:46:36.419000,2020-10-02 11:46:40.324000,2347
TV_Navigate/SortByMostWatched,24,Passed,N/A,2020-10-02 11:49:09.700000,2020-10-02 11:49:14.186000,2775
TV_Navigate/SortByMostWatched,25,Passed,N/A,2020-10-02 11:51:47.897000,2020-10-02 11:51:52.172000,2649
TV_Navigate/SortByMostWatched,26,Passed,N/A,2020-10-02 11:54:24.312000,2020-10-02 11:54:28.313000,2132
TV_Navigate/SortByMostWatched,27,Passed,N/A,2020-10-02 11:57:01.957000,2020-10-02 11:57:06.581000,2557
TV_Navigate/SortByMostWatched,28,Passed,N/A,2020-10-02 11:59:36.409000,2020-10-02 11:59:40.851000,2501
TV_Navigate/SortByMostWatched,29,Passed,N/A,2020-10-02 12:02:14.332000,2020-10-02 12:02:19.137000,2924
TV_Navigate/SortByMostWatched,30,Passed,N/A,2020-10-02 12:04:51.659000,2020-10-02 12:04:55.912000,2600
TV_Navigate/SortByMostWatched,31,Passed,N/A,2020-10-02 12:07:35.777000,2020-10-02 12:07:39.391000,2052
TV_Navigate/SortByMostWatched,32,Passed,N/A,2020-10-02 12:10:14.173000,2020-10-02 12:10:18.843000,2631
TV_Navigate/SortByMostWatched,33,Passed,N/A,2020-10-02 12:12:51.451000,2020-10-02 12:12:55.766000,2722
TV_Navigate/SortByMostWatched,34,Passed,N/A,2020-10-02 12:15:27.763000,2020-10-02 12:15:31.783000,2353
TV_Navigate/SortByMostWatched,35,Passed,N/A,2020-10-02 12:18:04.399000,2020-10-02 12:18:09.038000,2843
TV_Navigate/SortByMostWatched,36,Passed,N/A,2020-10-02 12:20:47.578000,2020-10-02 12:20:51.440000,2250
TV_Navigate/SortByMostWatched,37,Passed,N/A,2020-10-02 12:23:25.241000,2020-10-02 12:23:29.481000,2621
TV_Navigate/SortByMostWatched,38,Passed,N/A,2020-10-02 12:26:03.091000,2020-10-02 12:26:08.251000,2831
TV_Navigate/SortByMostWatched,39,Passed,N/A,2020-10-02 12:28:41.007000,2020-10-02 12:28:44.877000,2326
TV_Navigate/SortByMostWatched,40,Passed,N/A,2020-10-02 12:31:21.243000,2020-10-02 12:31:25.617000,2342
TV_Navigate/SortByMostWatched,41,Passed,N/A,2020-10-02 12:33:56.224000,2020-10-02 12:34:00.727000,2194
TV_Navigate/SortByMostWatched,42,Passed,N/A,2020-10-02 12:36:35.420000,2020-10-02 12:36:39.017000,2034
TV_Navigate/SortByMostWatched,43,Passed,N/A,2020-10-02 12:39:09.789000,2020-10-02 12:39:13.906000,2443
TV_Navigate/SortByMostWatched,44,Passed,N/A,2020-10-02 12:41:46.804000,2020-10-02 12:41:51.111000,2559
TV_Navigate/SortByMostWatched,45,Passed,N/A,2020-10-02 12:44:23.059000,2020-10-02 12:44:27.313000,2533
TV_Navigate/SortByMostWatched,46,Passed,N/A,2020-10-02 12:47:00.570000,2020-10-02 12:47:05.046000,2580
TV_Navigate/SortByMostWatched,47,Passed,N/A,2020-10-02 12:49:34.934000,2020-10-02 12:49:38.959000,2706
TV_Navigate/SortByMostWatched,48,Passed,N/A,2020-10-02 12:52:11.989000,2020-10-02 12:52:17.197000,2919
TV_Navigate/SortByMostWatched,49,Passed,N/A,2020-10-02 12:54:48.784000,2020-10-02 12:54:52.880000,2462
TV_Navigate/SortByMostWatched,50,Passed,N/A,2020-10-02 12:57:28.497000,2020-10-02 12:57:32.730000,2522
TV_Search/SearchChannel,1,Passed,N/A,2020-10-02 10:55:54.921000,2020-10-02 10:55:59.832000,1307
TV_Search/SearchChannel,2,Passed,N/A,2020-10-02 10:58:35.300000,2020-10-02 10:58:39.421000,901
TV_Search/SearchChannel,3,Passed,N/A,2020-10-02 11:01:13.752000,2020-10-02 11:01:17.878000,922
TV_Search/SearchChannel,4,Passed,N/A,2020-10-02 11:03:50.701000,2020-10-02 11:03:54.565000,862
TV_Search/SearchChannel,5,Passed,N/A,2020-10-02 11:06:29.892000,2020-10-02 11:06:33.995000,919
TV_Search/SearchChannel,6,Passed,N/A,2020-10-02 11:09:06.766000,2020-10-02 11:09:10.727000,802
TV_Search/SearchChannel,7,Passed,N/A,2020-10-02 11:11:43.234000,2020-10-02 11:11:47.574000,808
TV_Search/SearchChannel,8,Passed,N/A,2020-10-02 11:14:20.839000,2020-10-02 11:14:25.227000,953
TV_Search/SearchChannel,9,Passed,N/A,2020-10-02 11:16:59.831000,2020-10-02 11:17:04.406000,963
TV_Search/SearchChannel,10,Passed,N/A,2020-10-02 11:19:39.734000,2020-10-02 11:19:44.155000,1035
TV_Search/SearchChannel,11,Passed,N/A,2020-10-02 11:20:50.061000,2020-10-02 11:20:54.181000,904
TV_Search/SearchChannel,12,Passed,N/A,2020-10-02 11:21:47.696000,2020-10-02 11:21:51.644000,917
TV_Search/SearchChannel,13,Passed,N/A,2020-10-02 11:22:46.572000,2020-10-02 11:22:50.719000,881
TV_Search/SearchChannel,15,Passed,N/A,2020-10-02 11:25:43.385000,2020-10-02 11:25:47.848000,911
TV_Search/SearchChannel,16,Passed,N/A,2020-10-02 11:28:18.968000,2020-10-02 11:28:24.336000,929
TV_Search/SearchChannel,17,Passed,N/A,2020-10-02 11:30:54.920000,2020-10-02 11:30:59.677000,1486
