Action name,Iteration,Status,Responsiveness,Start time,End time,"Duration, msec"
Service/Login,1,Passed,N/A,2020-09-23 13:19:33.029000,2020-09-23 13:20:17.361000,2225
Service Step/CloseNotifications,1,Passed,N/A,2020-09-23 13:20:17.651000,2020-09-23 13:20:21.212000,3561
Service Step/CloseApp,1,Passed,N/A,2020-09-23 13:20:21.320000,2020-09-23 13:20:21.630000,310
HomePage/OpenTabRefreshToken,1,Passed,N/A,2020-09-23 13:20:21.748000,2020-09-23 13:20:30.021000,3340
HomePage/OpenTabRefreshToken,2,Passed,N/A,2020-09-23 13:23:05.261000,2020-09-23 13:23:10.637000,2313
HomePage/OpenTabRefreshToken,3,Passed,N/A,2020-09-23 13:25:46.934000,2020-09-23 13:25:52.567000,2568
HomePage/OpenTabRefreshToken,4,Passed,N/A,2020-09-23 13:28:27.093000,2020-09-23 13:28:32.927000,2840
HomePage/OpenTabRefreshToken,5,Passed,N/A,2020-09-23 13:31:05.494000,2020-09-23 13:31:12.027000,3801
HomePage/OpenTabRefreshToken,6,Passed,N/A,2020-09-23 13:33:46.238000,2020-09-23 13:33:51.729000,2632
HomePage/OpenTabRefreshToken,7,Passed,N/A,2020-09-23 13:36:24.288000,2020-09-23 13:36:30.389000,3123
HomePage/OpenTabRefreshToken,8,Passed,N/A,2020-09-23 13:39:02.846000,2020-09-23 13:39:09.069000,3324
HomePage/OpenTabRefreshToken,9,Passed,N/A,2020-09-23 13:41:40.549000,2020-09-23 13:41:46.025000,2600
HomePage/OpenTabRefreshToken,10,Passed,N/A,2020-09-23 13:44:18.941000,2020-09-23 13:44:24.360000,2462
HomePage/OpenTabRefreshToken,11,Passed,N/A,2020-09-23 13:46:59.437000,2020-09-23 13:47:05.390000,3121
HomePage/OpenTabRefreshToken,12,Passed,N/A,2020-09-23 13:49:34.266000,2020-09-23 13:49:39.564000,2391
HomePage/OpenTabRefreshToken,13,Passed,N/A,2020-09-23 13:50:45.200000,2020-09-23 13:50:51.105000,2968
HomePage/OpenTabRefreshToken,14,Failed,N/A,2020-09-23 13:51:44.929000,2020-09-23 13:51:58.395000,
HomePage/OpenTabRefreshToken,15,Passed,N/A,2020-09-23 13:52:03.139000,2020-09-23 13:52:08.871000,2883
HomePage/OpenTabRefreshToken,16,Passed,N/A,2020-09-23 13:53:03.435000,2020-09-23 13:53:09.057000,2872
HomePage/OpenTabRefreshToken,17,Passed,N/A,2020-09-23 13:55:40.271000,2020-09-23 13:55:46.157000,3063
HomePage/OpenTabRefreshToken,18,Passed,N/A,2020-09-23 13:58:18.545000,2020-09-23 13:58:24.050000,2545
HomePage/OpenTabRefreshToken,19,Passed,N/A,2020-09-23 14:00:55.436000,2020-09-23 14:01:00.590000,2337
HomePage/OpenTabRefreshToken,20,Passed,N/A,2020-09-23 14:03:31.222000,2020-09-23 14:03:36.401000,2272
HomePage/OpenTabRefreshToken,21,Passed,N/A,2020-09-23 14:06:08.241000,2020-09-23 14:06:15.089000,3939
HomePage/OpenTabRefreshToken,22,Passed,N/A,2020-09-23 14:08:46.262000,2020-09-23 14:08:52.083000,3021
HomePage/OpenTabRefreshToken,23,Passed,N/A,2020-09-23 14:11:23.074000,2020-09-23 14:11:28.678000,2784
HomePage/OpenTabRefreshToken,24,Passed,N/A,2020-09-23 14:14:02.571000,2020-09-23 14:14:07.615000,2133
HomePage/OpenTabRefreshToken,25,Passed,N/A,2020-09-23 14:16:41.908000,2020-09-23 14:16:47.359000,2569
HomePage/OpenTabRefreshToken,26,Passed,N/A,2020-09-23 14:19:18.075000,2020-09-23 14:19:26.209000,5224
HomePage/OpenTabRefreshToken,27,Passed,N/A,2020-09-23 14:21:58.917000,2020-09-23 14:22:05.856000,4131
HomePage/OpenTabRefreshToken,28,Passed,N/A,2020-09-23 14:24:36.612000,2020-09-23 14:24:42.172000,2731
HomePage/OpenTabRefreshToken,29,Passed,N/A,2020-09-23 14:27:13.518000,2020-09-23 14:27:19.130000,2738
HomePage/OpenTabRefreshToken,30,Passed,N/A,2020-09-23 14:29:50.390000,2020-09-23 14:29:56.099000,2374
HomePage/OpenTabRefreshToken,31,Passed,N/A,2020-09-23 14:32:28.353000,2020-09-23 14:32:34.111000,2911
HomePage/OpenTabRefreshToken,32,Passed,N/A,2020-09-23 14:35:03.338000,2020-09-23 14:35:09.628000,3576
HomePage/OpenTabRefreshToken,33,Passed,N/A,2020-09-23 14:37:41.649000,2020-09-23 14:37:47.359000,2810
HomePage/OpenTabRefreshToken,34,Passed,N/A,2020-09-23 14:40:17.509000,2020-09-23 14:40:22.740000,2352
HomePage/OpenTabRefreshToken,35,Passed,N/A,2020-09-23 14:42:55.512000,2020-09-23 14:43:01.479000,3090
HomePage/OpenTabRefreshToken,36,Passed,N/A,2020-09-23 14:45:33.157000,2020-09-23 14:45:40.684000,4660
HomePage/OpenTabRefreshToken,37,Passed,N/A,2020-09-23 14:48:11.532000,2020-09-23 14:48:16.974000,2489
HomePage/OpenTabRefreshToken,38,Passed,N/A,2020-09-23 14:50:46.926000,2020-09-23 14:50:52.665000,2897
HomePage/OpenTabRefreshToken,39,Passed,N/A,2020-09-23 14:53:24.189000,2020-09-23 14:53:29.824000,2828
HomePage/OpenTabRefreshToken,40,Passed,N/A,2020-09-23 14:56:03.714000,2020-09-23 14:56:10.961000,4379
HomePage/OpenTabRefreshToken,41,Passed,N/A,2020-09-23 14:58:41.385000,2020-09-23 14:58:48.047000,3794
HomePage/OpenTabRefreshToken,42,Passed,N/A,2020-09-23 15:01:23.174000,2020-09-23 15:01:29.102000,3035
HomePage/OpenTabRefreshToken,43,Passed,N/A,2020-09-23 15:03:59.770000,2020-09-23 15:04:06.637000,3993
HomePage/OpenTabRefreshToken,44,Passed,N/A,2020-09-23 15:06:40.909000,2020-09-23 15:06:46.742000,2956
HomePage/OpenTabRefreshToken,45,Passed,N/A,2020-09-23 15:09:18.920000,2020-09-23 15:09:25.275000,3340
HomePage/OpenTabRefreshToken,46,Passed,N/A,2020-09-23 15:11:55.964000,2020-09-23 15:12:02.605000,3745
HomePage/OpenTabRefreshToken,47,Passed,N/A,2020-09-23 15:14:33.510000,2020-09-23 15:14:38.977000,2569
